Iterations,VI avg crashes,QL avg crashes
0,210.5,100
5,250,100
10,195,100
15,190,100
20,150.8,100
25,355,100
30,135.2,100
35,292.6,100
40,195.3,100
45,226.3,100
50,309.5,100
55,235.1,100
60,143.2,100
65,329.1,100
70,158.4,100
75,259.5,100
80,129.5,100
85,316.3,100
90,223.8,100
95,324.9,100
100,272.9,100
105,273.4,100
110,159,100
115,203.1,100
120,218.6,100
125,196.2,100
130,222.5,100
135,353.9,100
140,196.3,100
145,209.9,100
150,273.6,100
155,151.8,100
160,222.6,100
165,273.4,100
170,381.3,100
175,148.3,100
180,232.1,100
185,234.9,100
190,230.3,100
195,248.1,100
200,212.5,100
205,212.6,100
210,109.3,100
215,195.3,100
220,255.5,100
225,209.9,100
230,243,100
235,209.8,100
240,191.3,100
245,207.4,100
250,121.3,100
255,251.3,100
260,157.7,100
265,290.9,100
270,160.5,100
275,341,100
280,260.2,100
285,209.3,100
290,98.6,100
295,340.5,100
300,218.9,100
305,204.3,100
310,139.4,100
315,166.5,100
320,152,100
325,142.4,100
330,251.4,100
335,183.1,100
340,427.6,100
345,176.5,100
350,251.4,100
355,145.9,100
360,277.3,100
365,191,100
370,208.2,100
375,220.6,100
380,185.4,100
385,158.5,100
390,182.6,100
395,277.2,100
400,293.2,100
405,189,100
410,270.3,100
415,251.6,100
420,183.1,100
425,189.6,100
430,226.7,100
435,132.1,100
440,200,100
445,283.3,100
450,137.8,100
455,241,100
460,219.1,100
465,255.3,100
470,217.3,100
475,270.2,100
480,309,100
485,221.3,100
490,161.9,100
495,156,100
500,292.2,100
505,283.9,100
510,154.2,100
515,141.1,100
520,258.2,100
525,242,100
530,188.8,100
535,207.8,100
540,278.8,100
545,208.3,100
550,174,100
555,260.3,100
560,135.8,100
565,283.8,100
570,144.5,100
575,178.4,100
580,201.1,100
585,200,100
590,225.9,100
595,157.5,100
600,158.1,100
605,221.6,100
610,198.2,100
615,208.4,100
620,139.4,100
625,156.2,100
630,122,100
635,158.9,100
640,249.5,100
645,145.9,100
650,141.1,100
655,238.3,100
660,278.2,100
665,232.6,100
670,182.8,100
675,223.1,100
680,253.1,100
685,182.4,100
690,261.7,100
695,219.6,100
700,235.4,100
705,189.8,100
710,239,100
715,156.9,100
720,237.2,100
725,213.4,100
730,290.8,100
735,217,100
740,147.8,100
745,157,100
750,162.3,100
755,238.6,100
760,294.9,100
765,260.9,100
770,167.4,100
775,156.5,100
780,170.4,100
785,221.8,100
790,215.9,100
795,143.4,100
800,161.2,100
805,91.2,100
810,150.7,100
815,127.7,100
820,249,100
825,112,90
830,155.5,100
835,199.8,90
840,197.1,100
845,175,90
850,192.3,100
855,157.4,100
860,262,100
865,173.4,100
870,154.5,100
875,171.3,100
880,210,100
885,171.6,90
890,184.1,100
895,200.7,100
900,171.3,100
905,236.9,100
910,165.8,90
915,212.5,100
920,181.9,100
925,233.2,100
930,101.6,100
935,253.2,90
940,139.8,90
945,264.3,100
950,286.6,90
955,330.4,100
960,150.6,100
965,299.7,90
970,136.1,100
975,334,90
980,150.7,90
985,221.3,80
990,155.8,100
995,219.1,100
1000,174.6,100
1005,140.6,90
1010,231.2,100
1015,273,100
1020,189.7,90
1025,199.7,100
1030,249.2,100
1035,179.4,90
1040,185.4,100
1045,158,100
1050,133.9,100
1055,243.1,100
1060,233.6,100
1065,261.5,90
1070,285.6,100
1075,198.6,90
1080,256,100
1085,128.8,100
1090,319.9,90
1095,188.5,100
1100,145.7,100
1105,181,100
1110,179.2,100
1115,219.7,100
1120,127.2,100
1125,280.4,100
1130,223.1,90
1135,261.5,90
1140,245.2,100
1145,235.3,100
1150,265.8,100
1155,305.1,100
1160,156.3,100
1165,264.7,90
1170,168.8,100
1175,116.4,100
1180,226.4,90
1185,160.5,100
1190,249.5,100
1195,169.8,100
1200,187.7,100
1205,219.3,100
1210,122.7,100
1215,176.9,100
1220,143.7,100
1225,161.5,90
1230,275.7,90
1235,177.2,90
1240,92.2,90
1245,219.9,90
1250,267.4,100
1255,116.1,100
1260,148.4,90
1265,205.6,100
1270,271.8,100
1275,163.9,90
1280,299.5,100
1285,141.3,100
1290,135.8,100
1295,146.8,100
1300,218.7,100
1305,217.5,100
1310,174.4,100
1315,155.3,100
1320,174.3,100
1325,307.9,100
1330,207.9,90
1335,127.3,100
1340,105.9,90
1345,307.8,100
1350,230.5,100
1355,288.5,100
1360,166.6,90
1365,178.8,90
1370,163.7,100
1375,198.2,90
1380,287,100
1385,180.4,100
1390,185.5,100
1395,193.2,100
1400,188.4,100
1405,163.2,100
1410,265.2,100
1415,201.6,100
1420,195.1,100
1425,167,100
1430,172.2,90
1435,157.1,100
1440,169.9,90
1445,217.4,100
1450,103.4,100
1455,128.7,100
1460,133.6,100
1465,214.5,100
1470,118,100
1475,311.3,100
1480,197.4,90
1485,150.7,100
1490,151.3,100
1495,209,90
1500,213.3,100
1505,179.9,100
1510,200.7,100
1515,206.9,90
1520,135.6,90
1525,254.7,100
1530,174.4,100
1535,169.7,90
1540,198.1,100
1545,144.1,90
1550,172.2,90
1555,137.7,100
1560,125.8,100
1565,131.1,90
1570,181.9,90
1575,205.2,100
1580,162.6,90
1585,120.6,100
1590,149.6,100
1595,160,100
1600,257.7,100
1605,260.8,100
1610,218.7,100
1615,258.6,100
1620,240.9,100
1625,194.7,100
1630,199.2,90
1635,141.6,100
1640,253.5,100
1645,277.7,100
1650,166.2,100
1655,219.4,90
1660,119.1,90
1665,151,100
1670,152.1,100
1675,285.9,100
1680,220.7,100
1685,216.9,100
1690,120.9,100
1695,154.4,100
1700,290.6,90
1705,206.1,90
1710,176.1,90
1715,148.2,90
1720,115.6,100
1725,110.8,100
1730,184.2,90
1735,158.1,100
1740,157.8,100
1745,174,90
1750,148,100
1755,280.2,100
1760,192.2,100
1765,131.4,100
1770,189.1,100
1775,131.9,100
1780,181,90
1785,199.8,100
1790,172,90
1795,159.9,90
1800,211.5,100
1805,210.9,100
1810,153.1,100
1815,167,100
1820,285,90
1825,144.8,100
1830,126.5,90
1835,166.9,100
1840,151.6,100
1845,149.8,100
1850,250.8,100
1855,209.5,90
1860,172.7,90
1865,164.1,100
1870,303.5,100
1875,137.8,100
1880,140,100
1885,124.9,100
1890,190.8,100
1895,187.3,100
1900,197.8,90
1905,217.3,100
1910,228.8,100
1915,198.2,100
1920,101.7,90
1925,177,100
1930,131.5,90
1935,186.3,90
1940,204.4,100
1945,139.1,100
1950,131.1,100
1955,206.8,100
1960,210.9,90
1965,196.3,100
1970,200.9,100
1975,182.7,100
1980,112.8,100
1985,169.5,100
1990,183.5,100
1995,107.4,100
2000,199.5,100
2005,211.7,100
2010,182.3,100
2015,219.9,100
2020,238.8,100
2025,279.2,100
2030,121.4,100
2035,118.7,100
2040,155.9,100
2045,222.6,100
2050,213,100
2055,151.9,100
2060,182.7,90
2065,124.8,100
2070,148,100
2075,187.5,100
2080,131.2,100
2085,241.8,100
2090,110.6,100
2095,141.1,90
2100,135,100
2105,225.7,100
2110,125.8,100
2115,204.3,100
2120,143.4,100
2125,268,100
2130,203.1,100
2135,243.9,100
2140,111.7,100
2145,216,90
2150,244.3,90
2155,231.6,90
2160,158.2,90
2165,189.9,100
2170,131.3,100
2175,158.3,100
2180,212.5,100
2185,136.5,100
2190,128.5,100
2195,138.9,100
2200,129.1,90
2205,112,90
2210,201.5,100
2215,146.2,100
2220,174.9,100
2225,157,100
2230,179.8,100
2235,139.4,100
2240,89.5,90
2245,229.7,100
2250,182.1,100
2255,187.9,100
2260,249.7,90
2265,184,100
2270,153.1,90
2275,149.6,90
2280,162.1,100
2285,128,100
2290,173.9,100
2295,150.7,100
2300,133.8,100
2305,156.8,100
2310,147,100
2315,218.1,100
2320,210.6,100
2325,115.8,100
2330,178,100
2335,156.8,100
2340,148.8,100
2345,171.1,100
2350,220.4,100
2355,104.3,90
2360,189.1,90
2365,228.1,100
2370,176,100
2375,121.4,100
2380,174.8,100
2385,195.8,90
2390,120.5,90
2395,245.1,90
2400,176.4,90
2405,210.6,90
2410,116.8,80
2415,158.8,100
2420,149.3,100
2425,199.1,90
2430,174,90
2435,110.2,90
2440,167.3,100
2445,145.1,90
2450,202.2,90
2455,170,100
2460,121.8,90
2465,166.3,100
2470,176.3,90
2475,238.8,80
2480,112.7,100
2485,199.5,80
2490,241.9,80
2495,193.4,100
2500,148.2,90
2505,150.6,80
2510,199.5,80
2515,111.1,90
2520,173.2,100
2525,134.6,90
2530,189.6,90
2535,182.7,100
2540,145,100
2545,204.6,80
2550,113.4,90
2555,170.8,90
2560,150,90
2565,137.4,90
2570,136.6,80
2575,110.8,90
2580,142.7,90
2585,137.5,90
2590,342,90
2595,112.1,100
2600,159.3,80
2605,144.1,100
2610,221.7,90
2615,99.1,90
2620,146,90
2625,190.2,90
2630,149.2,100
2635,186.6,100
2640,136.4,100
2645,138.6,100
2650,142.6,90
2655,125.1,100
2660,145.3,90
2665,154,90
2670,150.2,100
2675,113.4,90
2680,154.2,100
2685,238.7,90
2690,120.9,90
2695,153.6,90
2700,121.9,100
2705,141.8,100
2710,250.9,80
2715,210.8,90
2720,158.5,90
2725,102,100
2730,140,90
2735,113.6,100
2740,176.7,90
2745,98.4,90
2750,191.3,90
2755,140.3,100
2760,225.4,100
2765,245.8,90
2770,170.4,90
2775,212,100
2780,184.6,100
2785,190.7,100
2790,163.5,80
2795,153.8,90
2800,190.2,90
2805,142.6,90
2810,127,90
2815,153.4,90
2820,192.3,100
2825,130.9,100
2830,177.9,100
2835,121.4,90
2840,194.9,90
2845,191.5,100
2850,273.4,100
2855,133,90
2860,112.6,100
2865,153.2,90
2870,137.6,90
2875,162.2,100
2880,143.9,90
2885,171.7,90
2890,170.5,100
2895,244.8,100
2900,211.1,90
2905,161.6,80
2910,182,100
2915,137,80
2920,139.5,90
2925,128.9,90
2930,113.8,90
2935,154.6,100
2940,129.1,90
2945,124.5,90
2950,153.5,90
2955,205.3,100
2960,126.1,90
2965,96.2,80
2970,171.6,80
2975,253.9,90
2980,163.4,100
2985,171.2,90
2990,169.4,100
2995,117.8,90
3000,215.6,80
3005,127.6,70
3010,226,90
3015,156.4,90
3020,130.3,90
3025,182.2,100
3030,172.4,80
3035,152.5,80
3040,204.7,90
3045,253.5,90
3050,184,80
3055,179.6,70
3060,149.3,80
3065,150.2,80
3070,196.3,70
3075,171.2,80
3080,194.8,100
3085,238.3,60
3090,139.9,50
3095,154.7,90
3100,150.7,80
3105,148.6,80
3110,109.5,90
3115,138.5,70
3120,178.1,90
3125,185.6,90
3130,246.2,90
3135,103.3,80
3140,146,60
3145,122.6,90
3150,86.7,80
3155,183.7,80
3160,161.8,80
3165,177.2,70
3170,185.8,70
3175,165.9,80
3180,134.3,90
3185,105.6,80
3190,127.3,60
3195,209.3,80
3200,170.3,90
3205,236,80
3210,127.1,70
3215,80.9,60
3220,124.4,60
3225,148.1,80
3230,177.6,80
3235,219.2,80
3240,99.5,80
3245,216.6,70
3250,149.8,70
3255,159.9,80
3260,191.6,70
3265,144.9,90
3270,107.4,80
3275,195,70
3280,117.2,90
3285,114.5,70
