Iterations,VI avg moves,QL avg moves
0,243,360
5,302.1,200
10,265.7,340
15,253,340
20,185.9,340
25,463.7,310
30,191.4,280
35,362.8,320
40,257.2,350
45,319.2,260
50,399.2,340
55,290.3,270
60,201.1,260
65,509.2,250
70,198.6,310
75,297.2,320
80,166,240
85,404.5,330
90,305.9,310
95,391.3,380
100,369.8,350
105,349,290
110,204.5,360
115,264.6,330
120,283.3,300
125,277.6,230
130,302.6,310
135,503.6,290
140,255.1,370
145,281.8,310
150,313.2,250
155,196.5,310
160,252.6,250
165,337.1,390
170,519,220
175,208.3,280
180,291.7,260
185,322.3,350
190,284.9,320
195,308.6,370
200,293.8,320
205,260.2,290
210,149.8,190
215,255.9,250
220,329.8,300
225,287.2,170
230,319.2,260
235,241.2,320
240,268.8,350
245,269.4,330
250,163,290
255,338.1,310
260,196.7,330
265,395.9,310
270,200.1,270
275,466.7,350
280,362.1,350
285,269.8,340
290,133.8,320
295,431.3,290
300,298.9,310
305,241.1,200
310,201,320
315,235.5,310
320,207.2,290
325,177.7,300
330,340.8,380
335,219.7,310
340,592.6,380
345,209.7,350
350,304.3,350
355,182.2,330
360,328.1,330
365,236.3,350
370,276,280
375,300.5,250
380,233.4,240
385,190.9,300
390,224.6,350
395,333.3,340
400,358.9,270
405,221.5,250
410,339.5,290
415,286.9,300
420,246.4,280
425,253.4,370
430,285.1,320
435,182.2,320
440,303.8,260
445,430.1,360
450,177.8,360
455,273.7,330
460,290.7,330
465,308.3,280
470,289.6,250
475,351,330
480,356.9,280
485,295.7,330
490,215.1,330
495,228.6,300
500,370.8,240
505,345.4,390
510,202,290
515,191,350
520,317.9,270
525,287.5,310
530,228.8,380
535,275.5,280
540,377.9,340
545,237.9,340
550,220.8,390
555,337,320
560,166,340
565,343.9,270
570,198.2,300
575,214.7,330
580,243.7,290
585,240.1,350
590,302.9,340
595,224.7,350
600,219,360
605,255.2,290
610,259,340
615,283.4,370
620,169.4,340
625,242.2,240
630,149.3,300
635,208.5,240
640,347.5,210
645,185.4,300
650,202.2,350
655,320.6,260
660,323.3,260
665,295.3,270
670,243.4,350
675,298,240
680,350.3,360
685,234.3,320
690,318.9,290
695,297.3,250
700,271.6,290
705,259.7,300
710,287.9,350
715,185.7,360
720,316.7,350
725,254.5,310
730,358.5,370
735,289.5,250
740,192.4,370
745,196.3,260
750,213.1,360
755,310.2,260
760,394.9,230
765,352.1,300
770,246.7,320
775,186.7,260
780,209.3,370
785,318.2,300
790,274.3,270
795,190.5,240
800,217.3,380
805,129.2,360
810,200.2,300
815,171.6,300
820,374.5,240
825,156.9,212.7
830,195.4,210
835,250.2,272.7
840,259,320
845,248.6,302.7
850,222.3,330
855,207.5,270
860,349,330
865,226,340
870,197.3,310
875,218.2,270
880,285.8,280
885,207.8,332.7
890,244.4,270
895,244.3,360
900,232.4,270
905,264.1,240
910,231,252.7
915,258.7,210
920,257.8,350
925,305.6,320
930,130.2,390
935,312.4,252.7
940,161.8,202.7
945,337.6,260
950,363.1,332.7
955,442,300
960,197,330
965,394.3,282.7
970,187.5,440
975,389.2,282.7
980,200,282.7
985,305.6,275.4
990,217.4,300
995,290.3,340
1000,220.9,340
1005,200.5,252.7
1010,271.2,310
1015,324.6,350
1020,241.7,252.7
1025,254.5,410
1030,308.1,430
1035,219.5,302.7
1040,218.8,360
1045,203.4,320
1050,170.7,360
1055,340.7,230
1060,333.7,250
1065,325,372.7
1070,380.5,270
1075,295,322.7
1080,341.7,280
1085,184.4,400
1090,415.1,342.7
1095,222.1,480
1100,204.4,270
1105,245.1,300
1110,251.5,380
1115,313.8,390
1120,175.6,300
1125,360.5,280
1130,328.1,242.7
1135,360.7,392.7
1140,332.6,380
1145,297.1,260
1150,355.7,400
1155,404.5,440
1160,195.6,380
1165,360.7,172.7
1170,226.8,450
1175,160.9,380
1180,291.5,222.7
1185,212.9,240
1190,337.2,350
1195,235.6,330
1200,213.2,300
1205,309.8,300
1210,183.4,270
1215,250.1,370
1220,197.6,300
1225,234.1,292.7
1230,390.8,132.7
1235,238.8,282.7
1240,115.6,202.7
1245,294.7,382.7
1250,393.4,360
1255,154.2,310
1260,193.8,302.7
1265,241.4,410
1270,413.4,300
1275,197.4,302.7
1280,382.5,320
1285,192.8,220
1290,179,230
1295,178.8,240
1300,254.1,280
1305,321.8,310
1310,242.1,270
1315,189.5,370
1320,220,260
1325,361,310
1330,285.2,252.7
1335,157.2,270
1340,146,282.7
1345,386.7,220
1350,318.6,290
1355,335,320
1360,226.1,302.7
1365,236.7,252.7
1370,224.5,350
1375,242.7,262.7
1380,421.7,320
1385,259.4,270
1390,246.6,340
1395,279.9,250
1400,268,310
1405,224.3,260
1410,395.1,280
1415,277.2,200
1420,255.8,310
1425,209.4,270
1430,211.3,232.7
1435,209.3,330
1440,208.6,292.7
1445,274.3,250
1450,142.8,380
1455,172.5,320
1460,161.2,240
1465,264.4,280
1470,149.2,310
1475,378.7,290
1480,235.2,242.7
1485,209.1,260
1490,218.8,280
1495,254.3,322.7
1500,312.2,400
1505,231.7,290
1510,249.4,240
1515,268.7,272.7
1520,183.1,202.7
1525,358,320
1530,244.7,450
1535,229.7,282.7
1540,270.3,290
1545,196.6,222.7
1550,220.5,272.7
1555,164.5,420
1560,157.8,250
1565,177,382.7
1570,248.1,322.7
1575,250.6,350
1580,210.8,312.7
1585,142.3,300
1590,208.9,310
1595,218.1,290
1600,301.8,230
1605,342.9,290
1610,308.1,240
1615,341,300
1620,295.4,220
1625,258.9,300
1630,256.4,242.7
1635,198.3,290
1640,348.5,250
1645,393.8,340
1650,203.8,340
1655,269.4,242.7
1660,171.6,262.7
1665,181,310
1670,229.2,290
1675,367.2,330
1680,304.4,240
1685,276.2,370
1690,164.3,310
1695,226.7,220
1700,362.7,242.7
1705,288.1,232.7
1710,214.9,262.7
1715,191.6,272.7
1720,139.5,320
1725,145.4,220
1730,237.5,252.7
1735,209.8,310
1740,212.8,220
1745,217,362.7
1750,177,290
1755,429.3,250
1760,243.8,290
1765,174.4,300
1770,230.9,230
1775,179.7,310
1780,259.6,262.7
1785,231,210
1790,226.7,422.7
1795,232.6,302.7
1800,275.7,290
1805,271.6,190
1810,221.8,230
1815,208.3,320
1820,366.3,232.7
1825,173.5,200
1830,159.5,232.7
1835,223.2,400
1840,214.1,390
1845,197.1,280
1850,316.1,310
1855,260.6,372.7
1860,235,232.7
1865,201.8,250
1870,403,310
1875,200,310
1880,200.9,260
1885,162.6,300
1890,263.1,220
1895,243.4,210
1900,271.5,362.7
1905,258.8,290
1910,323.2,270
1915,244.8,270
1920,140.3,352.7
1925,258.6,240
1930,180.5,262.7
1935,237.2,232.7
1940,294.3,280
1945,167.9,360
1950,165.8,260
1955,275.8,190
1960,281,412.7
1965,272.4,320
1970,253.7,330
1975,224,370
1980,143.3,280
1985,246,310
1990,235,310
1995,156,400
2000,279.4,200
2005,290.1,390
2010,250.7,240
2015,276.7,310
2020,298.1,330
2025,376.2,340
2030,183,440
2035,167.1,220
2040,205.8,280
2045,284.7,340
2050,305.6,270
2055,233.2,320
2060,228.7,222.7
2065,177.8,360
2070,173.4,440
2075,276.6,300
2080,186,280
2085,303.6,420
2090,148.5,350
2095,202.2,192.7
2100,202,410
2105,290.9,370
2110,156.6,320
2115,265.4,450
2120,188.4,270
2125,342.9,250
2130,294.3,270
2135,335.1,260
2140,161.3,280
2145,293.1,322.7
2150,308.9,252.7
2155,298.3,282.7
2160,206.7,162.7
2165,246.5,230
2170,158.2,240
2175,199.4,240
2180,252.6,330
2185,167.7,220
2190,177.3,330
2195,195.7,360
2200,160.1,232.7
2205,143.7,242.7
2210,251.6,300
2215,197.3,240
2220,250.8,340
2225,200.3,280
2230,214.1,250
2235,160.7,320
2240,116.2,282.7
2245,299.1,260
2250,244.5,280
2255,256.9,280
2260,349.3,222.7
2265,214.3,300
2270,214.1,372.7
2275,188.8,312.7
2280,229.5,210
2285,185.6,240
2290,218.8,340
2295,200.7,390
2300,188.4,260
2305,201.3,300
2310,196.2,250
2315,283.2,420
2320,313.3,260
2325,156.6,240
2330,242.5,310
2335,188.6,260
2340,182,170
2345,218.3,420
2350,280,380
2355,147.2,412.7
2360,249.2,351.6
2365,287.8,290
2370,252.9,440
2375,156.1,290
2380,225,400
2385,236.6,161.4
2390,160.3,381.4
2395,315.5,382.7
2400,268.2,261.4
2405,286.1,242.7
2410,149,264.1
2415,207.9,340
2420,212,350
2425,280.9,431.5
2430,207.1,272.7
2435,156.9,321.4
2440,249.7,280
2445,202,402.7
2450,262.7,242.7
2455,218.2,310
2460,162.5,201.5
2465,193.7,350
2470,266.7,322.7
2475,321,202.6
2480,150.2,340
2485,271.4,192.7
2490,379.1,312.7
2495,239.4,330
2500,200.6,161.5
2505,196.7,292.7
2510,251.6,212.9
2515,167.4,352.7
2520,232.9,300
2525,168.4,241.5
2530,249.1,311.5
2535,248.4,300
2540,201.8,360
2545,271.4,303.9
