Iterations,VI avg crashes,QL avg crashes,,1,2,3,4,5,6,7,8,9,10
0,210.5,,,137,158,53,132,513,97,408,238,83,286
5,250,,,74,177,241,119,352,156,227,58,185,911
10,195,,,49,363,77,518,257,143,168,189,100,86
15,190,,,96,71,666,87,69,205,448,64,66,128
20,150.8,,,225,76,27,108,101,91,176,110,219,375
25,355,,,297,148,730,544,207,398,564,193,438,31
30,135.2,,,65,165,218,332,127,75,107,114,106,43
35,292.6,,,84,187,449,399,146,247,60,113,63,1178
40,195.3,,,100,502,104,209,98,331,54,295,80,180
45,226.3,,,410,607,201,107,129,42,155,69,478,65
50,309.5,,,171,320,315,442,790,227,165,165,440,60
55,235.1,,,229,148,121,180,155,876,77,45,315,205
60,143.2,,,217,392,124,24,59,63,274,41,92,146
65,329.1,,,585,924,461,559,264,23,141,85,149,100
70,158.4,,,113,347,147,54,156,69,97,287,100,214
75,259.5,,,141,96,61,146,261,267,553,574,237,259
80,129.5,,,321,44,72,21,107,225,171,71,93,170
85,316.3,,,412,286,129,326,622,505,117,223,256,287
90,223.8,,,275,550,39,242,111,60,205,164,529,63
95,324.9,,,140,87,136,523,743,389,272,680,230,49
100,272.9,,,123,107,477,518,159,123,562,102,160,398
105,273.4,,,413,148,182,263,303,445,252,144,88,496
110,159,,,54,211,293,121,51,21,224,347,192,76
115,203.1,,,149,391,79,102,193,237,235,231,239,175
120,218.6,,,113,181,690,77,40,237,119,232,30,467
125,196.2,,,323,211,97,478,31,117,176,82,35,412
130,222.5,,,241,342,77,409,97,116,464,58,243,178
135,353.9,,,1240,238,272,351,67,162,56,785,217,151
140,196.3,,,429,160,147,59,109,94,314,80,432,139
145,209.9,,,173,441,190,158,289,480,109,63,37,159
150,273.6,,,103,154,105,229,280,151,865,414,112,323
155,151.8,,,110,106,116,307,172,225,54,195,72,161
160,222.6,,,104,74,32,109,180,236,126,446,67,852
165,273.4,,,71,452,179,189,566,69,182,782,119,125
170,381.3,,,1066,95,163,620,77,514,259,639,238,142
175,148.3,,,65,141,475,98,168,195,127,96,63,55
180,232.1,,,263,72,229,269,308,27,162,259,520,212
185,234.9,,,146,309,510,270,186,355,153,32,96,292
190,230.3,,,147,256,169,162,434,490,57,19,58,511
195,248.1,,,318,100,305,66,234,248,353,66,597,194
200,212.5,,,74,620,207,267,129,82,122,142,229,253
205,212.6,,,109,284,100,97,719,21,166,143,162,325
210,109.3,,,203,61,32,264,62,49,205,108,50,59
215,195.3,,,250,167,77,296,189,151,65,35,278,445
220,255.5,,,243,203,292,261,33,591,39,480,85,328
225,209.9,,,75,71,411,426,179,83,484,59,95,216
230,243,,,128,144,539,269,72,308,634,186,99,51
235,209.8,,,70,78,93,112,934,107,253,134,262,55
240,191.3,,,242,158,79,512,232,157,204,23,247,59
245,207.4,,,297,243,55,160,323,204,294,38,200,260
250,121.3,,,122,88,247,50,49,69,66,325,114,83
255,251.3,,,53,412,360,291,243,424,266,91,208,165
260,157.7,,,73,185,125,146,99,179,166,66,318,220
265,290.9,,,295,670,422,166,262,216,64,484,252,78
270,160.5,,,205,152,156,49,92,226,315,286,101,23
275,341,,,368,1037,163,121,125,61,320,564,305,346
280,260.2,,,134,112,757,385,127,161,399,68,189,270
285,209.3,,,177,115,408,185,200,210,48,225,102,423
290,98.6,,,251,72,73,92,62,208,69,40,38,81
295,340.5,,,474,482,78,249,677,298,387,258,183,319
300,218.9,,,44,121,137,722,179,75,283,66,491,71
305,204.3,,,116,121,139,68,751,434,76,154,74,110
310,139.4,,,40,101,495,76,13,221,91,233,56,68
315,166.5,,,235,364,64,204,134,71,349,103,61,80
320,152,,,82,252,176,166,161,251,63,176,47,146
325,142.4,,,78,105,174,115,378,167,267,37,28,75
330,251.4,,,311,143,344,381,679,134,132,219,51,120
335,183.1,,,272,54,126,14,122,140,507,64,112,420
340,427.6,,,138,115,305,1699,396,24,533,533,346,187
345,176.5,,,240,41,103,38,36,173,74,312,264,484
350,251.4,,,21,351,198,92,632,47,230,438,409,96
355,145.9,,,72,96,140,104,221,137,143,378,69,99
360,277.3,,,257,306,161,31,246,1126,177,298,133,38
365,191,,,102,55,374,11,37,139,90,300,689,113
370,208.2,,,273,125,453,58,667,86,224,71,79,46
375,220.6,,,356,169,127,445,138,188,216,115,308,144
380,185.4,,,97,40,202,229,138,90,66,205,539,248
385,158.5,,,51,134,129,56,96,173,150,44,632,120
390,182.6,,,239,63,80,206,370,49,227,107,160,325
395,277.2,,,197,335,67,130,97,194,287,936,444,85
400,293.2,,,477,35,189,234,133,655,72,619,192,326
405,189,,,186,90,71,34,209,765,298,32,88,117
410,270.3,,,59,340,346,284,328,313,395,216,270,152
415,251.6,,,89,93,27,214,302,269,159,348,604,411
420,183.1,,,233,251,247,86,93,133,34,64,612,78
425,189.6,,,85,172,500,85,522,155,45,118,95,119
430,226.7,,,335,269,30,208,490,89,168,251,242,185
435,132.1,,,84,103,125,289,27,125,201,147,70,150
440,200,,,338,204,130,546,13,202,108,97,128,234
445,283.3,,,1252,189,158,309,69,343,63,135,82,233
450,137.8,,,197,148,66,84,270,150,98,39,187,139
455,241,,,136,88,109,47,539,512,120,112,227,520
460,219.1,,,41,325,559,65,38,65,79,316,259,444
465,255.3,,,51,108,92,351,150,17,711,79,616,378
470,217.3,,,49,63,869,138,265,69,148,147,118,307
475,270.2,,,207,64,476,303,141,222,530,157,562,40
480,309,,,120,201,174,114,303,426,597,143,154,858
485,221.3,,,59,226,141,454,393,583,162,24,104,67
490,161.9,,,147,253,52,192,50,239,317,194,142,33
495,156,,,60,113,681,83,49,130,92,57,96,199
500,292.2,,,392,93,380,202,80,188,438,833,208,108
505,283.9,,,133,395,66,188,1150,180,37,86,458,146
510,154.2,,,23,111,62,466,197,154,260,80,152,37
515,141.1,,,68,420,116,141,79,33,51,61,411,31
520,258.2,,,55,34,258,524,249,316,501,158,77,410
525,242,,,104,137,143,181,132,394,359,286,259,425
530,188.8,,,142,55,78,241,187,539,116,155,298,77
535,207.8,,,99,447,267,295,223,136,145,123,280,63
540,278.8,,,48,293,361,629,44,58,59,119,166,1011
545,208.3,,,121,137,68,58,172,76,107,246,148,950
550,174,,,114,428,50,63,64,72,41,346,135,427
555,260.3,,,402,111,328,162,462,85,292,306,187,268
560,135.8,,,122,85,54,63,223,332,166,117,66,130
565,283.8,,,84,202,408,104,184,447,117,198,457,637
570,144.5,,,337,152,83,115,75,233,37,203,84,126
575,178.4,,,77,80,68,230,140,446,52,125,290,276
580,201.1,,,73,343,46,102,84,59,811,319,116,58
585,200,,,258,125,53,132,217,34,178,141,566,296
590,225.9,,,56,368,337,114,236,297,106,198,378,169
595,157.5,,,362,72,225,167,169,161,67,135,91,126
600,158.1,,,235,93,107,258,175,69,140,130,86,288
605,221.6,,,48,154,194,16,491,394,88,413,79,339
610,198.2,,,440,232,115,139,189,272,118,137,230,110
615,208.4,,,653,70,149,81,374,326,122,109,62,138
620,139.4,,,56,61,122,96,137,127,37,46,576,136
625,156.2,,,327,546,159,75,150,146,8,76,63,12
630,122,,,141,106,20,69,57,70,321,227,127,82
635,158.9,,,167,135,95,284,254,42,232,53,65,262
640,249.5,,,103,933,203,186,161,205,41,487,59,117
645,145.9,,,36,114,75,263,114,103,432,78,134,110
650,141.1,,,88,209,295,81,43,196,88,270,13,128
655,238.3,,,266,213,45,484,649,62,32,135,58,439
660,278.2,,,121,121,160,237,160,351,188,437,837,170
665,232.6,,,130,179,79,312,322,158,138,541,176,291
670,182.8,,,56,251,112,339,167,83,249,152,269,150
675,223.1,,,404,77,241,328,68,98,639,94,219,63
680,253.1,,,658,102,80,382,82,262,109,248,216,392
685,182.4,,,198,176,178,81,69,72,565,74,143,268
690,261.7,,,33,262,449,20,130,322,618,186,181,416
695,219.6,,,58,206,596,225,82,187,158,271,354,59
700,235.4,,,176,52,35,190,466,414,53,77,423,468
705,189.8,,,82,428,150,265,369,109,82,72,28,313
710,239,,,313,135,158,69,253,63,271,206,89,833
715,156.9,,,158,76,31,60,354,179,109,59,464,79
720,237.2,,,141,436,391,88,167,265,146,304,379,55
725,213.4,,,207,167,96,102,239,115,113,41,723,331
730,290.8,,,116,358,94,377,587,321,308,113,330,304
735,217,,,46,72,747,130,229,57,189,254,214,232
740,147.8,,,141,99,231,99,399,58,42,234,69,106
745,157,,,43,97,256,122,133,225,81,457,88,68
750,162.3,,,141,146,50,264,46,445,104,60,223,144
755,238.6,,,201,163,61,564,68,141,252,631,231,74
760,294.9,,,364,331,414,270,575,109,288,12,275,311
765,260.9,,,407,555,283,94,269,233,167,275,161,165
770,167.4,,,541,263,132,176,312,54,59,46,35,56
775,156.5,,,112,24,209,54,130,59,119,574,39,245
780,170.4,,,64,74,203,80,236,256,341,264,123,63
785,221.8,,,190,889,273,27,13,146,64,63,103,450
790,215.9,,,250,167,39,452,219,59,279,41,103,550
795,143.4,,,248,81,137,125,121,49,93,71,369,140
800,161.2,,,110,362,153,140,96,44,337,194,120,56
805,91.2,,,97,45,71,189,103,44,34,32,209,88
810,150.7,,,49,90,122,334,87,285,226,43,37,234
815,127.7,,,383,38,48,94,57,145,207,77,138,90
820,249,,,486,440,618,121,106,275,88,127,79,150
825,112,,,30,104,127,243,53,51,68,266,81,97
830,155.5,,,55,154,101,213,49,170,343,279,64,127
835,199.8,,,151,135,64,268,378,165,540,56,207,34
840,197.1,,,383,152,54,39,36,324,406,276,171,130
845,175,,,431,296,146,63,29,153,150,22,397,63
850,192.3,,,34,18,144,150,110,536,284,150,448,49
855,157.4,,,137,244,150,27,175,134,246,56,276,129
860,262,,,88,27,647,512,130,345,270,66,286,249
865,173.4,,,118,118,467,73,104,160,45,51,315,283
870,154.5,,,204,42,199,49,92,244,111,281,244,79
875,171.3,,,236,25,187,209,344,88,71,217,156,180
880,210,,,442,136,285,111,302,167,144,209,63,241
885,171.6,,,48,54,80,276,264,224,361,81,191,137
890,184.1,,,70,136,276,303,148,358,174,230,99,47
895,200.7,,,150,167,114,93,134,246,69,492,49,493
900,171.3,,,49,181,145,331,34,281,18,191,285,198
905,236.9,,,174,42,38,60,875,229,644,138,65,104
910,165.8,,,295,179,108,346,39,46,122,238,144,141
915,212.5,,,73,167,140,251,476,366,191,177,196,88
920,181.9,,,430,25,164,440,50,21,131,80,308,170
925,233.2,,,93,54,399,256,61,277,127,268,670,127
930,101.6,,,128,141,58,49,130,250,84,95,27,54
935,253.2,,,284,48,342,33,283,85,174,142,739,402
940,139.8,,,86,60,79,79,153,636,24,80,58,143
945,264.3,,,163,137,392,265,111,295,73,948,82,177
950,286.6,,,147,121,267,410,174,1088,382,26,194,57
955,330.4,,,271,523,435,298,48,250,636,335,304,204
960,150.6,,,170,97,306,87,77,442,72,85,132,38
965,299.7,,,356,623,135,87,231,350,465,233,388,129
970,136.1,,,97,194,179,171,33,133,84,96,254,120
975,334,,,29,495,42,181,553,46,1068,195,575,156
980,150.7,,,164,59,51,268,202,276,78,84,74,251
985,221.3,,,455,397,148,72,171,173,507,60,123,107
990,155.8,,,169,110,188,283,62,76,77,393,130,70
995,219.1,,,110,285,236,275,77,705,55,97,219,132
1000,174.6,,,127,85,107,178,104,255,119,45,406,320
1005,140.6,,,197,144,97,312,72,167,78,164,116,59
1010,231.2,,,42,197,173,20,119,181,201,142,490,747
1015,273,,,19,256,109,347,258,355,399,338,297,352
1020,189.7,,,329,164,87,38,361,57,258,140,302,161
1025,199.7,,,189,269,98,60,46,211,727,85,126,186
1030,249.2,,,155,214,230,105,917,122,62,124,237,326
1035,179.4,,,141,80,72,219,35,609,200,79,232,127
1040,185.4,,,8,177,51,234,390,627,77,127,125,38
1045,158,,,166,102,176,152,37,366,100,109,137,235
1050,133.9,,,26,90,244,50,150,150,254,247,95,33
1055,243.1,,,412,196,388,360,56,245,127,132,429,86
1060,233.6,,,135,908,128,103,362,107,155,179,165,94
1065,261.5,,,324,382,62,48,556,527,24,445,98,149
1070,285.6,,,123,588,437,67,386,88,132,298,113,624
1075,198.6,,,561,542,85,216,31,37,243,121,137,13
1080,256,,,852,48,162,131,487,21,505,174,84,96
1085,128.8,,,167,144,175,186,47,61,195,55,137,121
1090,319.9,,,269,162,394,500,398,34,529,26,480,407
1095,188.5,,,71,43,192,149,114,37,538,550,151,40
1100,145.7,,,255,106,116,237,197,96,93,153,132,72
