Iterations,VI avg moves,QL avg moves
0,243,180
5,302.1,120
10,265.7,180
15,253,140
20,185.9,160
25,463.7,180
30,191.4,140
35,362.8,160
40,257.2,140
45,319.2,160
50,399.2,180
55,290.3,180
60,201.1,180
65,509.2,120
70,198.6,160
75,297.2,120
80,166,160
85,404.5,160
90,305.9,100
95,391.3,120
100,369.8,120
105,349,180
110,204.5,140
115,264.6,160
120,283.3,160
125,277.6,180
130,302.6,120
135,503.6,100
140,255.1,100
145,281.8,120
150,313.2,180
155,196.5,140
160,252.6,220
165,337.1,140
170,519,180
175,208.3,120
180,291.7,140
185,322.3,100
190,284.9,140
195,308.6,100
200,293.8,140
205,260.2,140
210,149.8,160
215,255.9,200
220,329.8,160
225,287.2,160
230,319.2,140
235,241.2,180
240,268.8,180
245,269.4,120
250,163,180
255,338.1,100
260,196.7,180
265,395.9,210
270,200.1,150
275,466.7,160
280,362.1,220
285,269.8,160
290,133.8,120
295,431.3,200
300,298.9,140
305,241.1,160
310,201,140
315,235.5,140
320,207.2,180
325,177.7,180
330,340.8,150
335,219.7,120
340,592.6,120
345,209.7,140
350,304.3,210
355,182.2,160
360,328.1,210
365,236.3,100
370,276,140
375,300.5,140
380,233.4,120
385,190.9,210
390,224.6,140
395,333.3,210
400,358.9,140
405,221.5,160
410,339.5,120
415,286.9,160
420,246.4,230
425,253.4,170
430,285.1,120
435,182.2,160
440,303.8,160
445,430.1,160
450,177.8,180
455,273.7,200
460,290.7,160
465,308.3,140
470,289.6,140
475,351,120
480,356.9,190
485,295.7,220
490,215.1,200
495,228.6,160
500,370.8,190
505,345.4,160
510,202,160
515,191,180
520,317.9,120
525,287.5,140
530,228.8,210
535,275.5,160
540,377.9,210
545,237.9,180
550,220.8,140
555,337,120
560,166,160
565,343.9,120
570,198.2,120
575,214.7,140
580,243.7,160
585,240.1,120
590,302.9,140
595,224.7,140
600,219,170
605,255.2,120
610,259,190
615,283.4,140
620,169.4,180
625,242.2,150
630,149.3,170
635,208.5,120
640,347.5,180
645,185.4,140
650,202.2,120
655,320.6,170
660,323.3,210
665,295.3,120
670,243.4,180
675,298,120
680,350.3,160
685,234.3,200
690,318.9,170
695,297.3,190
700,271.6,120
705,259.7,120
710,287.9,110
715,185.7,190
720,316.7,140
725,254.5,170
730,358.5,160
735,289.5,190
740,192.4,120
745,196.3,140
750,213.1,190
755,310.2,170
760,394.9,210
765,352.1,170
770,246.7,160
775,186.7,140
780,209.3,170
785,318.2,220
790,274.3,140
795,190.5,140
800,217.3,100
805,129.2,150
810,200.2,120
815,171.6,150
820,374.5,160
825,156.9,100
830,195.4,230
835,250.2,180
840,259,140
845,248.6,120
850,222.3,160
855,207.5,190
860,349,130
865,226,150
870,197.3,160
875,218.2,170
880,285.8,140
885,207.8,120
890,244.4,190
895,244.3,200
900,232.4,210
905,264.1,200
910,231,140
915,258.7,110
920,257.8,140
925,305.6,160
930,130.2,160
935,312.4,140
940,161.8,210
945,337.6,170
950,363.1,200
955,442,180
960,197,140
965,394.3,130
970,187.5,140
975,389.2,140
980,200,160
985,305.6,140
990,217.4,170
995,290.3,170
1000,220.9,140
1005,200.5,170
1010,271.2,140
1015,324.6,190
1020,241.7,180
1025,254.5,140
1030,308.1,150
1035,219.5,160
1040,218.8,130
1045,203.4,132.7
1050,170.7,162.7
1055,340.7,192.7
1060,333.7,152.7
1065,325,160
1070,380.5,160
1075,295,142.7
1080,341.7,112.7
1085,184.4,120
1090,415.1,110
1095,222.1,142.7
1100,204.4,120
1105,245.1,120
1110,251.5,150
1115,313.8,150
1120,175.6,172.7
1125,360.5,150
1130,328.1,112.7
1135,360.7,140
1140,332.6,180
1145,297.1,110
1150,355.7,132.7
1155,404.5,160
1160,195.6,140
1165,360.7,172.7
1170,226.8,180
1175,160.9,170
1180,291.5,150
1185,212.9,112.7
1190,337.2,112.7
1195,235.6,122.7
1200,213.2,140
1205,309.8,140
1210,183.4,120
1215,250.1,140
1220,197.6,132.7
1225,234.1,130
