Iterations,VI avg moves,QL avg moves,avg,1,2,3,4,5,6,7,8,9,10
0,243,,243,238,261,95,211,513,97,408,238,83,286
5,302.1,,302.1,136,324,435,237,352,156,227,58,185,911
10,265.7,,265.7,89,598,128,899,257,143,168,189,100,86
15,253,,253,165,137,1090,158,69,205,448,64,66,128
20,185.9,,185.9,399,132,56,200,101,91,176,110,219,375
25,463.7,,463.7,476,234,1207,889,207,398,564,193,438,31
30,191.4,,191.4,113,273,382,574,127,75,107,114,106,43
35,362.8,,362.8,178,307,704,632,146,247,60,113,63,1178
40,257.2,,257.2,194,827,174,339,98,331,54,295,80,180
45,319.2,,319.2,719,1010,322,203,129,42,155,69,478,65
50,399.2,,399.2,295,491,561,798,790,227,165,165,440,60
55,290.3,,290.3,431,262,233,304,155,876,77,45,315,205
60,201.1,,201.1,370,665,246,55,59,63,274,41,92,146
65,509.2,,509.2,983,1542,820,985,264,23,141,85,149,100
70,198.6,,198.6,180,559,228,96,156,69,97,287,100,214
75,297.2,,297.2,265,197,121,238,261,267,553,574,237,259
80,166,,166,554,94,117,58,107,225,171,71,93,170
85,404.5,,404.5,731,488,242,574,622,505,117,223,256,287
90,305.9,,305.9,471,961,78,417,111,60,205,164,529,63
95,391.3,,391.3,254,147,223,926,743,389,272,680,230,49
100,369.8,,369.8,226,195,867,906,159,123,562,102,160,398
105,349,,349,718,257,324,463,303,445,252,144,88,496
110,204.5,,204.5,95,344,479,216,51,21,224,347,192,76
115,264.6,,264.6,296,696,155,189,193,237,235,231,239,175
120,283.3,,283.3,173,322,1069,144,40,237,119,232,30,467
125,277.6,,277.6,566,383,185,789,31,117,176,82,35,412
130,302.6,,302.6,439,567,134,730,97,116,464,58,243,178
135,503.6,,503.6,2174,403,464,557,67,162,56,785,217,151
140,255.1,,255.1,704,292,287,100,109,94,314,80,432,139
145,281.8,,281.8,319,774,331,257,289,480,109,63,37,159
150,313.2,,313.2,168,265,181,373,280,151,865,414,112,323
155,196.5,,196.5,191,179,185,531,172,225,54,195,72,161
160,252.6,,252.6,204,134,77,204,180,236,126,446,67,852
165,337.1,,337.1,115,734,285,394,566,69,182,782,119,125
170,519,,519,1787,180,330,1024,77,514,259,639,238,142
175,208.3,,208.3,128,249,805,197,168,195,127,96,63,55
180,291.7,,291.7,434,123,401,471,308,27,162,259,520,212
185,322.3,,322.3,257,502,903,447,186,355,153,32,96,292
190,284.9,,284.9,231,480,288,281,434,490,57,19,58,511
195,308.6,,308.6,553,174,548,119,234,248,353,66,597,194
200,293.8,,293.8,160,1057,360,404,129,82,122,142,229,253
205,260.2,,260.2,213,476,190,187,719,21,166,143,162,325
210,149.8,,149.8,365,114,62,424,62,49,205,108,50,59
215,255.9,,255.9,428,290,158,520,189,151,65,35,278,445
220,329.8,,329.8,381,364,536,461,33,591,39,480,85,328
225,287.2,,287.2,134,170,725,727,179,83,484,59,95,216
230,319.2,,319.2,231,259,917,435,72,308,634,186,99,51
235,241.2,,241.2,124,152,196,195,934,107,253,134,262,55
240,268.8,,268.8,436,280,146,904,232,157,204,23,247,59
245,269.4,,269.4,519,467,104,285,323,204,294,38,200,260
250,163,,163,224,176,434,90,49,69,66,325,114,83
255,338.1,,338.1,104,762,629,489,243,424,266,91,208,165
260,196.7,,196.7,145,319,232,223,99,179,166,66,318,220
265,395.9,,395.9,473,1107,734,289,262,216,64,484,252,78
270,200.1,,200.1,349,257,252,100,92,226,315,286,101,23
275,466.7,,466.7,682,1777,293,194,125,61,320,564,305,346
280,362.1,,362.1,204,235,1287,681,127,161,399,68,189,270
285,269.8,,269.8,305,202,671,312,200,210,48,225,102,423
290,133.8,,133.8,428,110,143,159,62,208,69,40,38,81
295,431.3,,431.3,770,848,145,428,677,298,387,258,183,319
300,298.9,,298.9,91,229,245,1259,179,75,283,66,491,71
305,241.1,,241.1,212,238,239,123,751,434,76,154,74,110
310,201,,201,80,174,923,151,13,221,91,233,56,68
315,235.5,,235.5,474,622,116,345,134,71,349,103,61,80
320,207.2,,207.2,157,445,286,340,161,251,63,176,47,146
325,177.7,,177.7,131,211,284,199,378,167,267,37,28,75
330,340.8,,340.8,545,247,611,670,679,134,132,219,51,120
335,219.7,,219.7,487,102,207,36,122,140,507,64,112,420
340,592.6,,592.6,221,204,549,2933,396,24,533,533,346,187
345,209.7,,209.7,403,76,193,82,36,173,74,312,264,484
350,304.3,,304.3,41,632,338,180,632,47,230,438,409,96
355,182.2,,182.2,141,177,253,204,221,137,143,378,69,99
360,328.1,,328.1,437,498,261,67,246,1126,177,298,133,38
365,236.3,,236.3,237,101,623,34,37,139,90,300,689,113
370,276,,276,474,244,759,110,667,86,224,71,79,46
375,300.5,,300.5,575,311,230,780,138,188,216,115,308,144
380,233.4,,233.4,193,94,340,421,138,90,66,205,539,248
385,190.9,,190.9,97,240,248,109,96,173,150,44,632,120
390,224.6,,224.6,394,128,136,350,370,49,227,107,160,325
395,333.3,,333.3,335,585,106,264,97,194,287,936,444,85
400,358.9,,358.9,774,69,300,449,133,655,72,619,192,326
405,221.5,,221.5,333,168,138,67,209,765,298,32,88,117
410,339.5,,339.5,96,570,586,469,328,313,395,216,270,152
415,286.9,,286.9,155,198,47,376,302,269,159,348,604,411
420,246.4,,246.4,403,462,421,164,93,133,34,64,612,78
425,253.4,,253.4,157,303,864,156,522,155,45,118,95,119
430,285.1,,285.1,527,464,72,363,490,89,168,251,242,185
435,182.2,,182.2,147,185,212,558,27,125,201,147,70,150
440,303.8,,303.8,614,401,229,1012,13,202,108,97,128,234
445,430.1,,430.1,2239,337,269,531,69,343,63,135,82,233
