Iterations,VI avg moves,QL avg moves
0,8403.1,157.5
5,8832,335
10,9538.5,242.5
15,9848.9,282.5
20,10429.9,290
25,12530.4,342.5
30,10450.8,422.5
35,5896.1,192.5
40,9371.3,275
45,10295.4,285
50,10764.2,345
55,7422.3,240
60,11026.7,355
65,10323,280
70,10505.9,450
75,10762.6,192.5
80,7922.1,177.5
85,10916.1,225
90,7797.9,97.5
95,9452,150
100,10373,175
105,11002.4,167.5
110,7900.7,477.5
115,8875.9,87.5
120,9538.6,185
125,12538.8,247.5
130,9570,177.5
135,8002.8,352.5
140,9166.5,362.5
145,10305,412.5
150,9715,105
155,7655.4,192.5
160,10672.1,112.5
165,9539.3,267.5
170,9830.5,195
175,10955.2,205
180,10086.4,327.5
185,10061.3,167.5
190,9444.2,125
195,9698.4,143
200,9051.5,257.5
205,10248.7,167.5
210,10309.1,202.5
215,8260.6,267.5
220,10863.8,353
225,9910.6,282.5
230,10298.4,210
235,11240.7,165
240,9290.2,292.5
245,5723.8,198
250,9902.6,175
255,8161.9,185
260,11228.3,125.5
265,10174.8,680
270,12507.2,165
275,9304.3,160
280,10877.1,205
285,11121.7,362.5
290,10610.6,187.5
295,10651.2,257.5
300,10728.7,245.5
305,10483.8,223
310,10510.5,335
315,3786.2,267.5
320,10581,252.5
325,10949.4,140
330,9666,262.5
335,9571.5,175
340,9686.2,312.5
345,9907.1,290
350,10239.4,262.5
355,9026.6,107.5
360,10969.1,90
365,10291.3,310
370,9833.2,320.5
375,8019.4,175.5
380,9569.1,275
385,10823.8,202.5
390,9239.3,352.5
395,10307,320
400,8608.5,185
405,11336.6,245
410,9382.1,167.5
415,9805.4,258
420,12284.3,355
425,8907.8,488
430,8156.3,160.5
435,9965.9,188
440,11035.5,415
445,10383.8,352.5
450,8744.9,342.5
455,9986.5,198
460,7677.6,352.5
465,10497.4,342.5
470,10889.1,177.5
475,10338.4,325
480,8743.4,107.5
485,9685.4,255
490,10974.5,200
495,10980.5,247.5
500,9960.4,87.5
505,9891,355
510,9818.3,272.5
515,8670.3,275
520,9359.1,317.5
525,11508.9,258
530,10062.9,520
535,9776.2,485
540,9347,105.5
545,10642.2,185
550,10155.6,92.5
555,8337.6,257.5
560,10365.8,285.5
565,9960.9,95
570,10668.8,282.5
575,11182.5,170.5
580,10343.4,187.5
585,11117.9,335
590,12340.5,362.5
595,10740.9,167.5
600,10573.3,195.5
605,11687.7,267.5
610,8164.8,160.5
615,8947.6,212.5
620,11541.2,247.5
625,7069.8,265.5
630,9987.2,195
635,11329.8,488
640,12197.8,265.5
645,8010.8,262.5
650,11228.9,142.5
655,9682.5,83
660,10513.2,245
665,9631.2,343
670,12020,325
675,10806.1,282.5
680,9329.7,167.5
685,9265.3,175
690,8548.8,415
695,9579,328
700,9732.4,290
705,10142.4,250
710,11748.8,442.5
715,9982.4,168
720,8786.3,163
725,8943.9,262.5
730,9767.3,335
735,9171.4,170.5
740,7582.1,415
745,8723.2,160.5
750,11315.4,160.5
755,10785.5,83
760,8517.1,167.5
765,8976,268.5
770,8845.5,262.5
775,10309.1,290
780,9993.6,280
785,11080.7,240.5
790,8416.2,248
795,9729.2,265
800,9417.6,180
805,12193.4,182.5
810,9812,318
815,6840.3,262.5
820,9630.4,345
825,10683.1,178
830,9502.5,230.5
835,8168.8,238.5
840,10419.3,380
845,10328,353
850,10102.4,185
855,10321,370
860,9537.1,328
865,7713.9,506
870,7876.4,335
875,9695.3,310.5
880,9003.5,98
885,10256.2,135.5
890,11615.8,327.5
895,7463.2,177.5
900,9530.7,70.5
905,8017.8,262.5
910,8739.3,342.5
915,10215.9,408
920,10566.6,182.5
925,8784.3,82.5
930,10669.5,68
935,8670,222.5
940,5569.3,175
945,8237.9,352.5
950,9985.6,185
955,8512,337.5
960,9013.7,352.5
965,10710.3,282.5
970,10412.7,435.5
975,4464.6,408
980,7428.1,240.5
985,7928.2,167.5
990,8376.2,452.5
995,6894,470.5
1000,10637.2,343
1005,11848.9,242.5
1010,10456,328
