Iterations,VI avg moves,QL avg moves
0,13000,462.5
5,12160.2,287.5
10,12008,145
15,11915,230
20,13000,227.5
25,13000,217.5
30,12668.6,367.5
35,13000,195
40,12058.7,277.5
45,13000,270
50,13000,302.5
55,12070.9,375
60,12224.7,525
65,12095,162.5
70,11811.6,172.5
75,12365.1,130
80,12515.7,260
85,12051,375
90,13000,197.5
95,11720.1,357.5
100,13000,222.5
105,12452.9,222.5
110,12224.9,222.5
115,13000,552.5
120,12164.5,370
125,12793.7,120
130,10628.2,340
135,12485.1,395
140,12044.1,235
145,10902.2,135
150,12754.6,330
155,12558,385
160,13000,227.5
165,12292.2,445
170,13000,170
175,12922.1,212.5
180,13000,312.5
185,12283.8,390
190,11257.8,310
195,12068.9,285
200,12124.6,320
205,10917.4,257.5
210,13000,195
215,12903.1,127.5
220,13000,150
225,12622.7,352.5
230,12891.9,402.5
235,12958.5,195
240,12957.5,242.5
245,13000,385
250,13000,205
255,13000,365
260,13000,322.5
265,11797.4,242.5
270,11804.7,225
275,13000,205
280,12010.1,202.5
285,13000,312.5
290,12843.3,230
295,11766.3,385
300,13000,267.5
305,12346.7,302.9
310,10878.7,195
315,13000,210
320,12407.5,287.5
325,11999.4,462.5
330,12331.2,197.5
335,12167.4,187.9
340,12296.7,105.4
345,12911.2,280.4
350,12263.1,152.5
355,12138.9,342.5
360,12390.4,225
365,12916.7,297.5
370,11143.4,112.5
375,13000,275.4
380,12644.1,372.5
385,12460.8,445
390,12445,205
395,13000,390
400,12191.4,250
405,12229.6,462.5
410,10759,272.5
415,11824.5,95.4
420,12143.2,400
425,13000,445.4
430,11982.2,145
435,12435,282.9
440,11976.2,255
445,12068.6,232.5
450,13000,207.5
455,12025.8,470
460,12041.9,462.5
465,11943.3,150
470,12459.5,325
475,13000,292.5
480,11531.8,242.5
485,13000,142.5
490,11817.6,212.5
495,11989.6,137.9
500,12759.4,192.5
505,13000,337.5
510,11898.4,345
515,12859.4,98
520,12708.7,302.5
525,11285.8,187.5
530,13000,102.9
535,12160.6,275.5
540,13000,295
545,12894.7,222.5
550,12744.7,205
555,11908.3,138
560,12863.8,202.5
565,13000,222.5
570,11942.1,197.9
575,12453.8,352.9
580,11855.7,212.9
585,12588.4,163
590,11585.1,313
595,11260.8,210
600,12225.5,270.5
605,12150.6,215
610,13000,372.5
615,11338.5,323
620,11232.7,270
625,12370.8,162.5
630,13000,187.5
635,12988.3,307.9
640,12700.5,202.5
645,11847.7,155
650,12640.8,207.5
655,13000,132.9
660,11434.3,322.5
665,12409.4,193
670,12116.1,362.5
675,12280.5,330
680,12546,332.5
685,13000,372.5
690,13000,282.5
695,13000,170
700,13000,288
705,11901.1,347.5
710,12206.4,375
715,12905.8,132.5
720,12785.6,188
725,11794,177.9
730,12360.4,185
735,13000,278
740,13000,190
745,12465.1,177.5
750,12349.3,225
755,11472.1,433
760,13000,200.4
765,12324.8,315
770,12240.2,285.5
775,12154.1,255
780,13000,282.5
785,13000,290
790,13000,280
795,11896.5,197.5
800,12452.5,440
805,12190.8,380
810,12426.6,215
815,12266.9,380
820,12121.3,287.5
825,12096.9,335
830,12508.2,293
835,11900.4,277.5
840,12339,272.5
845,12263.9,412.9
850,13000,275
855,11206.6,172.5
860,12538.4,142.5
865,10734.8,195.5
870,11824.2,195.4
875,12706.2,102.5
880,13000,385
885,11895.9,242.5
890,11634.6,197.5
895,12055.8,232.5
900,12566.6,207.5
905,11878.1,188.4
910,11946.6,340
915,12941.5,135.5
920,11609.3,225
925,11833.5,215
930,12026.4,200.4
935,11941.1,312.5
940,12411.7,202.5
945,13000,400
950,12710.2,280
955,12948,302.5
960,11889.1,242.5
965,12794.7,197.9
970,12145.8,185
975,11027.1,215
980,12200.7,277.9
985,11150.5,355.4
990,12875.9,268
995,11937.8,275
1000,12346.4,202.9
1005,12822.8,400
1010,13000,300
1015,12054.6,260
1020,12011.3,315.5
1025,12025.2,228
1030,11844,203
1035,12235.1,300
1040,13000,275
1045,11890.9,227.5
1050,13000,142.5
1055,12924.9,217.5
1060,11538.2,215.4
1065,12199.7,287.9
1070,11979.1,217.9
1075,12548.9,193
1080,13000,287.9
1085,13000,87.5
1090,13000,252.5
1095,11127.5,390
1100,12140.2,327.5
1105,11226.4,150
1110,11420.7,285
1115,12735.2,205.4
1120,12021.3,138
1125,12060,375
1130,12650.6,127.5
1135,11819.2,185
1140,12401.1,300
1145,12023.1,247.5
1150,11840.7,320
1155,12260.3,140.4
1160,12039.8,217.9
1165,12303.2,367.5
1170,10924,150
1175,11374.8,255.5
1180,11868.4,145.9
1185,13000,440
1190,12542.1,457.5
1195,11898.6,135.5
1200,11291.2,245
1205,11967.4,303
1210,12954.4,127.9
1215,13000,552.5
1220,12941.3,412.9
1225,13000,243
1230,13000,322.9
1235,12384.2,482.9
1240,11255.5,292.9
1245,13000,252.5
1250,12829.8,315.4
1255,12503.4,292.5
1260,11771.5,125
1265,11976.9,225
1270,13000,197.5
1275,13000,90.4
1280,11312.7,130.8
1285,11566.6,340.4
1290,12111.2,207.5
1295,11585.5,285.6
1300,11418.9,242.9
1305,13000,165
1310,11417.5,345.4
1315,11950.8,370
1320,12215.1,282.5
1325,10694.8,218.5
1330,12263,290
1335,12492.4,125.4
1340,11377.3,262.5
1345,13000,422.9
1350,13000,205.4
1355,12422.7,187.5
1360,13000,373.1
1365,13000,245.4
1370,11277.7,350
1375,11935.4,197.9
1380,12657.1,212.5
1385,12723,340
1390,12749.7,230
1395,12541.5,198.1
1400,13000,120.4
1405,12191,240
1410,13000,377.5
1415,11323.3,345
1420,13000,290
1425,12122,307.9
1430,11532.7,297.5
1435,11780.5,147.5
1440,11759.6,152.5
1445,12319.1,342.5
1450,11903.2,317.5
1455,12091.9,237.9
1460,12820.2,112.5
1465,11823.9,335
1470,10860.4,322.5
1475,12526.4,210.8
